"1","Abilità in Prestito","1","Si effettua una prova di Abilità usando i gradi di un altro"
"2","Accelerare Veleno","2","Anticipa gli effetti del Veleno"
"3","Accompagnamento Raffinato","3","Lo strumento mantiene l'esibizione bardica per l'incantatore"
"4","Accordo di Schegge","1","Esibizione bardica infligge 2d6 danni perforanti"
"5","Accordo di Schegge (Mitico)","1","Esibizione bardica infligge 2d8 danni perforanti"
"6","Acume Tattico","2","Si ottiene un ulteriore +1 ai Tiri per Colpire o alla CA per la posizione sul campo di battaglia"
"7","Adattamento Planare","5","Si resiste agli effetti nocivi di un piano"
"8","Adattamento Planare di Massa","7","Più persone resistono agli effetti nocivi di un piano"
"9","Addestrare Animale a Compito Generico","1","L'Animale ottiene un nuovo compito generico"
"10","Adorazione","2","Si ottiene bonus alle prove di Diplomazia ed Esibizione in Combattimento"
"11","Affondo Sonico","5","Il suono sposta i bersagli lontano da sè"
"12","Agitazione da Insetti","2","Si fa in modo che il bersaglio si percepisca come se fosse ricoperto da insetti"
"13","Agitazione da Insetti (Mitico)","2","Si fa in modo che il bersaglio si percepisca come se fosse ricoperto da insetti"
"14","Agonia Ululante","3","Il dolore limita le azioni del bersaglio"
"15","Agonizzare","4","Il dolore costringe un esterno ad obbedire"
"16","Aiuto","2","Bonus +1 ai Tiri per Colpire e ai Tiri Salvezza contro Paura, 1d8 pf temporanei +1/livello (max +10)"
"17","Ali Forti","1","Le ali del bersaglio diventano più potenti"
"18","Allarme","1","Sorveglia un’area per 2 ore/livello"
"19","Allarme Invisibilità","1","Come Allarme, ma reagisce solo alle creature Invisibili"
"20","Alleato Compassionevole","2","Costringe ad aiutare un alleato ferito"
"21","Alleato Involontario","0","L'obiettivo è considerato come alleato per 1 turno"
"22","Alleato Planare","6","Scambio di servigi con una creatura extraplanare con 12 DV"
"23","Alleato Planare Inferiore","4","Scambio di servigi con una creatura extraplanare con 6 DV"
"24","Alleato Planare Superiore","8","Scambio di servigi con una creatura extraplanare con 18 DV"
"25","Alleato Spirituale","4","Porta l’aiuto di un alleato divino"
"26","Allegro","2","Si ottiene Velocità durante l'esibizione bardica"
"27","Allineamento Imperscrutabile","2","Nasconde l’Allineamento per 24 ore"
"28","Allineare Arma","2","Un’arma diventa buona, malvagia, legale o caotica"
"29","Allineare Arma Collettivo","3","Come Allineare Arma, ma si può suddividere la durata tra le armi toccate"
"30","Allucinazione Folle","2","Infligge penalità alle azioni mentali"
"31","Allucinazione Mortale","4","Un’illusione spaventosa uccide il soggetto o infligge 3d6 danni"
"32","Allucinazione Mortale (Mitico)P","4","Un’illusione spaventosa uccide il soggetto o infligge 3d6 danni"
"33","Alterare Se Stesso","2","Permette di assumere la forma di un umanoide Piccolo o Medio"
"34","Alterare Strumento Musicale","1","Fa in modo che uno strumento suoni come uno diverso"
"35","Alterare Venti","1","Aumenta/diminuisce la forza dei venti naturali"
"36","Alterazione Vocale","1","Camuffa la voce del soggetto"
"37","Amico della Foresta","2","I Vegetali in una foresta diventano vantaggiosi invece di Intralciare l'incantatore e i suoi alleati"
"38","Ammonimento","2","Rende Accovacciato o Scosso il bersaglio"
"39","Ammonimento di Massa","5","Rende Accovacciati o Scossi più bersagli"
"40","Ammorbidire Terra e Pietra","2","Trasforma la pietra in argilla o la terra in sabbia e fango"
"41","Amplificare Elisir","3","Potenzia o estende gli effetti di una pozione o di un'elisir"
"42","Analizzare Dweomer","6","Rivela gli aspetti magici di un soggetto"
"43","Anatema","1","I nemici subiscono penalità –1 ai Tiri per Colpire e ai Tiri Salvezza contro Paura"
"44","Anatema (Mitico)","1","I nemici subiscono penalità -1 ai Tiri per Colpire, tiri per i danni e ai Tiri Salvezza contro Paura"
"45","Anatomia Non Morta I","3","Si assumono la forma e alcuni poteri di un Non Morto"
"46","Anatomia Non Morta II","5","Si assumono la forma e alcuni poteri di un Non Morto"
"47","Anatomia Non Morta III","6","Si assumono la forma e alcuni poteri di un Non Morto"
"48","Anatomia Non Morta IV","8","Si assumono la forma e alcuni poteri di un Non Morto"
"49","Ancora Dimensionale","4","Impedisce il viaggio extradimensionale"
"50","Ancora d'Ombra","2","L'ombra del bersaglio diventa una fune flessibile che lo ancora al quadretto in cui si trova attualmente"
