"1","Haramaki","Un'haramaki, chiamata anche ""scaldapancia"", è una semplice fascia di seta rivestita di cotta di maglia o di piastre di metallo articolate, da legare all'altezza dello stomaco per proteggerlo.","1","300",NULL,"Armatura"
"2","Imbottita",NULL,"10","500",NULL,"Armatura"
"3","Kilt Corazzato","Questo oggetto, pensato principalmente per difendere le gambe e il basso ventre, può essere utilizzato da solo o collegato a un'altra armatura leggera o media per renderla più efficace. Un'armatura leggera o media con abbinato un kilt corazzato conta, rispettivamente, come armatura media o pesante. Attaccare un kilt corazzato a un'armatura pesante non modifica in nessun modo il bonus CA concesso dall'armatura.","15","2000",NULL,"Armatura"
"4","Armatura Cerimoniale di Seta","Queste vesti, usate a scopi cerimoniali, o a volte indossate (senza fornire nessun beneficio aggiuntivo) sopra armature più pesanti, sono costituite da vari strati di stoffa e uno strato esterno di seta, finemente intessuto di disegni di broccato dorato e ricoperto con borchie di metallo.","4","3000",NULL,"Armatura"
"5","Imbottitura Trapuntata","Questa forma migliorata di armatura imbottita ha strati interni creati per intrappolare frecce, dardi, shuriken, pugnali lanciati ed altre piccole armi da lancio. Queste armi, quando colpiscono, tendono a venire bloccate da questi strati e non producono ferite. Si ottiene RD 3/— contro attacchi di questo tipo. Gli strati dell’armatura non hanno effetto contro altri tipi di armi.","15","10000",NULL,"Armatura"
"6","Cuoio",NULL,"15","1000",NULL,"Armatura"
"7","Corazza Lamellare",NULL,"8","1500",NULL,"Armatura"
"8","Armatura di Palissandro","Questa armatura completa di cuoio è avvolta in speciali viti di rosa. Trattare questa armatura come un'armatura di cuoio chiodata. I viticci devono essere innaffiati con almeno 3,7 litri d'acqua al giorno o avvizziranno e moriranno, trasformando l'armatura in una semplice armatura di cuoio.","15","5000",NULL,"Armatura"
"9","Armatura di Legno","Questa armatura di cuoio ha pezzi di legno temprati a fuoco cuciti sui punti vitali. Pur non essendo efficace come le armature di metallo, offre maggiore protezione rispetto al semplice cuoio. A differenza del metallo, il legno permette di galleggiare, e la penalità di armatura alla prova per le prove di Nuotare è 0.","25","2000",NULL,"Armatura"
"10","Cuoio Borchiato",NULL,"20","2500",NULL,"Armatura"
"11","Lamellare di Cuoio",NULL,"25","6000",NULL,"Armatura"
"12","Giaco di Maglia",NULL,"25","10000",NULL,"Armatura"
"13","Pelle",NULL,"25","1500",NULL,"Armatura"
"14","Manto Corazzato",NULL,"20","5000",NULL,"Armatura"
"15","Armatura Kikko","È composta da varie piastre esagonali di ferro cucite sul tessuto. Le piastre possono essere nascoste da un altro strato di tessuto o lasciate scoperte.","25","3000",NULL,"Armatura"
"16","Corazza di Scaglie",NULL,"30","5000",NULL,"Armatura"
"17","Lamellare di Corno",NULL,"30","10000",NULL,"Armatura"
"18","Do-Maru","L'armatura do-maru, la più leggera tra tutte quelle da samurai, avvolge il corpo del portatore come una giubba corazzata. È composta principalmente da lamelle ed è priva di un pettorale solido o maniche. Consente quindi al portatore una maggiore flessibilità rispetto alle armature più pesanti.","30","20000",NULL,"Armatura"
